,0
0,Arkansas
1,Connecticut
2,Delaware
3,Illinois
4,Iowa
5,Maine
6,Maryland
7,Massachusetts
8,Minnesota
9,Mississippi
10,Missouri
11,Nevada
12,New Hampshire
13,New Mexico
14,North Carolina
15,North Dakota
16,Ohio
17,Oklahoma
18,Oregon
19,Pennsylvania
20,Rhode Island
21,South Carolina
22,South Dakota
23,Tennessee
24,Utah
25,West Virginia
26,Wisconsin
27,Wyoming
